object_id,timeperiod,top_reasons,shap_max_rain,shap_mean_rain,shap_sum_rain,shap_mean_ndvi,shap_mean_ndbi,shap_sum_population,shap_sum_aged_population,shap_sum_young_population,shap_mean_sex_ratio,shap_total_hhd,shap_net_sown_area_in_hac,shap_schools_count,shap_health_centres_count,shap_road_length,shap_distance_from_river,shap_drainage_density,shap_elevation_mean,shap_slope_mean,shap_mean_cn,shap_impact
18-303-00120,2026-04-01,max_rain contributed -19%; mean_ndvi contributed -11%; elevation_mean contributed -9%,-1.2029538,-0.53205705,-0.51461864,-0.71981066,-0.2785116,-0.12367614,0.0751465,-0.14908783,-0.23829433,0.0025525135,-0.40622273,-0.16020949,-0.00055399176,-0.28989497,-0.16048576,-0.14011647,-0.580538,0.06674371,-0.46183592,-0.28396985
18-303-00121,2026-04-01,mean_ndvi contributed -13%; elevation_mean contributed -11%; mean_cn contributed -9%,-0.35618952,-0.26250508,-0.24069998,-0.61551595,-0.16071516,-0.29218745,-0.25766382,-0.24725199,-0.11311936,0.01260427,0.18061078,0.040316716,-0.11901488,-0.27659094,-0.09193372,0.17496987,-0.55193156,0.13190863,-0.41843,-0.371521
18-303-00122,2026-04-01,max_rain contributed -21%; sum_rain contributed -18%; mean_ndvi contributed -9%,-1.0292062,0.37590432,-0.8604212,-0.42094493,-0.27478772,0.2292392,-0.18374164,0.06472168,-0.076447956,0.06239315,0.09139293,-0.22644457,-0.29509118,0.011182702,0.0887106,0.056337144,-0.14503565,-0.052320663,-0.064008184,-0.22847925
18-303-00123,2026-04-01,max_rain contributed -35%; sum_rain contributed -15%; impact contributed -7%,-0.83878076,0.04357118,-0.36366442,-0.07493783,-0.1146562,-0.073316045,-0.004155864,-0.0884032,-0.096689396,-0.067305736,0.03898923,0.07436277,-0.088204965,0.097090915,0.020738207,-0.007461586,-0.1229932,0.00075919693,0.008112874,-0.17292747
18-303-00264,2026-04-01,max_rain contributed -17%; mean_rain contributed +17%; schools_count contributed +8%,-0.43523523,0.43342522,0.06309614,-0.09957146,0.04812742,-0.12811546,0.08531573,-0.064044274,-0.19377309,-0.0071342234,-0.14005604,0.20907575,0.043595035,-0.10220381,-0.06021301,0.13787284,-0.11222279,-0.0035841446,-0.056040727,-0.19781159
18-303-00266,2026-04-01,sum_rain contributed -14%; mean_rain contributed +12%; mean_ndvi contributed +10%,-0.19529401,0.58089596,-0.67556345,0.50834346,-0.41461337,-0.18529719,0.015281113,-0.0571527,-0.13605839,-0.007955805,-0.20140481,0.09634311,-0.014085405,-0.13344608,0.12455662,0.361938,-0.2713083,0.30834228,-0.34429923,-0.32938507
18-304-00126,2026-04-01,max_rain contributed -20%; mean_rain contributed -19%; sum_rain contributed -18%,-1.5153182,-1.4344105,-1.3318454,-0.31166047,0.22589375,-0.080694295,-0.11834686,0.0021426599,-0.80097806,0.09818158,-0.2841487,0.17654043,-0.059077013,-0.11184982,0.22190315,0.13275965,0.107313156,0.12868287,-0.2940895,-0.09573799
18-304-00127,2026-04-01,sum_rain contributed -21%; mean_sex_ratio contributed -12%; road_length contributed -10%,-0.4746725,-0.10304939,-1.0285567,-0.22682613,0.24168175,-0.16528507,-0.23876384,0.017486788,-0.57554084,-0.030772991,-0.14492735,-0.15737918,-0.021491092,-0.4900501,-0.20977196,0.029287633,-0.07276671,0.047372714,-0.25617167,-0.256518
18-304-00128,2026-04-01,max_rain contributed -39%; sum_rain contributed -19%; mean_rain contributed -18%,-2.9320223,-1.3980438,-1.4116703,-0.25087377,-0.88238347,-0.00883124,-0.03519987,-0.12484551,0.05350276,-0.025354967,0.010171316,0.0062656337,-0.00455984,-0.023299798,0.10465072,-0.078032896,0.04549307,0.021561125,-0.024176218,-0.12172823
18-304-00129,2026-04-01,sum_rain contributed -23%; mean_ndbi contributed -16%; max_rain contributed -14%,-0.8720978,-0.31592184,-1.4141746,-0.060919836,-0.98849213,-0.14233218,-0.124524005,-0.16592689,-0.4677219,-0.032693893,-0.4597533,0.10879038,-0.10804138,-0.32392722,0.10581229,0.054388605,0.0017789747,0.017872501,-0.1068933,-0.17574053
18-304-00271,2026-04-01,max_rain contributed -43%; mean_rain contributed -17%; sum_rain contributed -16%,-4.0953064,-1.6027935,-1.5453253,-0.3990113,-0.09143516,-0.15751337,-0.079134636,-0.27037245,-0.50676847,-0.14760561,0.025542336,-0.1593358,0.0021655252,-0.009603876,0.0018684006,-0.13791046,-0.03414622,-0.023010816,-0.08946712,-0.113972425
